Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
120	:	1624958650.259	     5.322	0	365	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_TR_West_Tripura
121	:	1624958650.800	     5.367	0	372	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_CT_Uttar_Bastar_Kanker
122	:	1624958651.322	     5.354	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_KA_Hassan
123	:	1624958651.837	     5.328	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_UP_Amethi
124	:	1624958652.371	     5.286	0	362	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_AR_Changlang
126	:	1624958653.443	     4.562	0	366	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_AR_Dibang_Valley
125	:	1624958652.899	     5.355	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_TN_Erode
127	:	1624958653.949	     5.398	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_HR_Kaithal
128	:	1624958654.493	     5.728	0	569	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_PB_Sangrur
129	:	1624958655.042	     5.376	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_KA_Ballari
131	:	1624958656.072	     4.537	0	362	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_JH_Lohardaga
130	:	1624958655.568	     5.329	0	362	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_PB_Gurdaspur
132	:	1624958656.595	     5.335	0	363	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_OR_Kendrapara
134	:	1624958657.658	     4.588	0	371	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_ML_West_Jaintia_Hills
133	:	1624958657.145	     5.397	0	596	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_TN_Chennai
135	:	1624958658.180	     5.405	0	361	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MH_Bhandara
136	:	1624958658.734	     5.658	0	571	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MH_Nandurbar
137	:	1624958659.317	     5.335	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_UP_Budaun
139	:	1624958660.400	     4.603	0	364	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_UP_Farrukhabad
138	:	1624958659.876	     5.368	0	370	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_UT_Udham_Singh_Nagar
140	:	1624958660.927	     5.243	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_HR_Panipat
142	:	1624958661.977	     4.545	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MP_Niwari
141	:	1624958661.434	     5.336	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_JH_Dumka
143	:	1624958662.509	     5.304	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_HR_Jhajjar
145	:	1624958663.585	     4.522	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MZ_Kolasib
144	:	1624958663.052	     5.599	0	569	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_JH_Giridih
147	:	1624958664.651	     4.516	0	361	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_RJ_BSF_Camp
146	:	1624958664.120	     5.275	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_UP_Baghpat
148	:	1624958665.162	     5.340	0	364	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_HR_Yamunanagar
150	:	1624958666.259	     4.530	0	365	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_AR_Kurung_Kumey
149	:	1624958665.721	     5.371	0	364	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MP_Narsinghpur
151	:	1624958666.771	     5.276	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MP_Sagar
152	:	1624958667.291	     4.819	0	584	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_DN_Dadra_and_Nagar_Haveli
153	:	1624958667.807	     5.308	0	362	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_RJ_Bharatpur
155	:	1624958668.846	     4.506	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_UP_Hathras
154	:	1624958668.320	     5.338	0	363	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_CT_Kabeerdham
156	:	1624958669.351	     5.276	0	362	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_RJ_Jaisalmer
157	:	1624958669.856	     5.640	0	569	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_UP_Lucknow
158	:	1624958670.415	     5.375	0	361	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_UP_Bahraich
159	:	1624958670.922	     5.407	0	361	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_CT_Dhamtari
160	:	1624958671.464	     5.338	0	369	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_KA_Dakshina_Kannada
161	:	1624958671.991	     5.450	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_JK_Pulwama
163	:	1624958673.036	     4.654	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_NL_Peren
162	:	1624958672.514	     5.364	0	357	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_RJ_Tonk
165	:	1624958674.076	     4.579	0	364	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_KA_Other_State
164	:	1624958673.556	     5.361	0	363	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_WB_Alipurduar
166	:	1624958674.617	     5.280	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_AP_Krishna
167	:	1624958675.190	     5.711	0	571	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_CT_Kondagaon
168	:	1624958675.734	     5.383	0	363	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MH_Ahmednagar
169	:	1624958676.252	     5.338	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_GJ_Bharuch
170	:	1624958676.793	     5.339	0	362	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_CT_Balrampur
171	:	1624958677.324	     4.867	0	572	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MP_Agar_Malwa
172	:	1624958677.847	     4.498	0	363	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_NL_Mokokchung
173	:	1624958678.379	     4.554	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_AR_Siang
175	:	1624958679.449	     4.570	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_GJ_Narmada
174	:	1624958678.892	     5.768	0	568	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MH_Nashik
176	:	1624958679.985	     5.313	0	372	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_JH_Saraikela_Kharsawan
178	:	1624958681.039	     4.539	0	362	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_JH_Sahibganj
177	:	1624958680.503	     5.275	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_OR_Bhadrak
179	:	1624958681.561	     5.217	0	366	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_AP_Y_S_R__Kadapa
180	:	1624958682.071	     5.539	0	577	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_ML_West_Garo_Hills
181	:	1624958682.593	     5.315	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_GJ_Amreli
182	:	1624958683.111	     5.273	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MP_Harda
183	:	1624958683.674	     5.273	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_BR_Banka
185	:	1624958684.705	     4.479	0	364	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MH_Other_State
184	:	1624958684.201	     5.249	0	363	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_BR_Sheikhpura
187	:	1624958685.778	     4.507	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MZ_Saitual
186	:	1624958685.248	     5.292	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_TR_Khowai
188	:	1624958686.332	     5.326	0	362	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_BR_Begusarai
189	:	1624958686.865	     5.322	0	356	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_HP_Una
190	:	1624958687.379	     5.348	0	361	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_JK_Udhampur
191	:	1624958687.909	     5.305	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_RJ_Karauli
192	:	1624958688.422	     5.332	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MP_Bhind
193	:	1624958688.945	     5.328	0	367	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_BR_East_Champaran
194	:	1624958689.450	     5.293	0	361	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_TN_Dindigul
195	:	1624958690.015	     5.319	0	362	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_TN_Thanjavur
196	:	1624958690.540	     5.340	0	364	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_TN_Pudukkottai
197	:	1624958691.073	     5.314	0	357	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_GJ_Tapi
198	:	1624958691.613	     5.361	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_KA_Gadag
199	:	1624958692.154	     5.310	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_BR_Nalanda
200	:	1624958692.701	     5.341	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_WB_Purulia
201	:	1624958693.215	     5.284	0	361	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_PB_Amritsar
202	:	1624958693.753	     5.302	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_UP_Hapur
203	:	1624958694.272	     5.277	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_OR_Bargarh
204	:	1624958694.783	     5.275	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_NL_Kohima
205	:	1624958695.330	     5.305	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_RJ_Dholpur
206	:	1624958695.836	     5.295	0	366	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_AP_East_Godavari
207	:	1624958696.387	     5.293	0	362	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_JK_Bandipora
209	:	1624958697.428	     4.499	0	362	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_GJ_Porbandar
208	:	1624958696.903	     5.311	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_KA_Udupi
210	:	1624958697.957	     5.299	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_PB_Mansa
211	:	1624958698.469	     5.367	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_HP_Sirmaur
212	:	1624958699.006	     5.328	0	365	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_UP_Kanpur_Nagar
213	:	1624958699.550	     5.259	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_UP_Bhadohi
214	:	1624958700.058	     5.332	0	363	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_BR_Aurangabad
216	:	1624958701.096	     4.505	0	364	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_TN_Other_State
215	:	1624958700.582	     5.384	0	363	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_RJ_Pratapgarh
217	:	1624958701.633	     5.369	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MP_Sidhi
218	:	1624958702.167	     5.296	0	368	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_AR_Lower_Subansiri
219	:	1624958702.687	     5.295	0	361	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_KL_Palakkad
220	:	1624958703.256	     5.317	0	361	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_PB_Ludhiana
221	:	1624958703.797	     5.341	0	361	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_BR_Khagaria
222	:	1624958704.332	     5.344	0	361	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_OR_Balangir
223	:	1624958704.847	     5.347	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MH_Satara
224	:	1624958705.376	     5.278	0	594	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MH_Mumbai
225	:	1624958705.891	     5.330	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_KA_Haveri
226	:	1624958706.432	     5.312	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_WB_Birbhum
227	:	1624958706.935	     5.335	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MH_Gondia
228	:	1624958707.462	     5.288	0	362	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_PB_Jalandhar
229	:	1624958707.982	     5.347	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MH_Solapur
230	:	1624958708.499	     5.349	0	362	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_UP_Sultanpur
231	:	1624958709.007	     5.383	0	357	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_PB_Moga
233	:	1624958710.083	     4.561	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_AR_Kamle
232	:	1624958709.527	     5.327	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MP_Umaria
234	:	1624958710.642	     5.309	0	361	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MH_Yavatmal
235	:	1624958711.185	     5.297	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MP_Damoh
236	:	1624958711.744	     5.275	0	367	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_KA_Chikkamagaluru
